name,rgb
Asian_Dark,"[216, 184, 159]"
Asian_Light,"[248, 224, 184]"
Asian_Medium,"[230, 198, 173]"
Asian_Medium_Dark,"[229, 202, 181]"
Asian_Medium_Light,"[248, 201, 175]"
Black_Dark,"[33, 1, 2]"
Black_Light,"[237, 207, 197]"
Black_Medium,"[162, 116, 101]"
Black_Medium_Dark,"[144, 110, 99]"
Black_Medium_Light,"[193, 144, 129]"
Caucasian_Dark,"[177, 140, 122]"
Caucasian_Light,"[231, 215, 215]"
Caucasian_Medium,"[216, 188, 167]"
Caucasian_Medium_Dark,"[201, 165, 141]"
Caucasian_Medium_Light,"[237, 207, 197]"
Latino_Dark,"[109, 95, 84]"
Latino_Light,"[230, 198, 173]"
Latino_Medium,"[186, 145, 117]"
Latino_Medium_Dark,"[156, 123, 104]"
Latino_Medium_Light,"[201, 160, 132]"
